,Structure_x,ID,Level_x,zscore_x,Level_y,Structure_y,zscore_y,uniprot
114071,parahippocampal gyrus,CUX2,2.6884,1.131732880012237,3.3464,fastigial nucleus,0.8788667744408969,O14529
114679,parahippocampal gyrus,VEGFA,2.8705,1.0631825009242346,4.7071,substantia nigra,0.35736693855842966,A0A087WTP4
114759,parahippocampal gyrus,VIL1,1.8929,1.4311937617503259,3.1157,lateral tuberal nucleus,0.9672845095317217,P09327
114957,"cingulate gyrus, parietal part",SMARCC2,2.8257,1.0800471740881143,3.7153,substantia nigra,0.737482715164758,Q8TAQ2
114999,parahippocampal gyrus,SMARCD2,8.4765,1.0471603061451882,8.2079,postcentral gyrus,0.9843444052038561,Q92925
115551,parahippocampal gyrus,SMARCE1,8.7604,1.1540326434493287,7.7321,substantia nigra,0.8019900126758351,Q969G3
115771,parahippocampal gyrus,LILRB1,8.6905,1.127719235990507,8.0209,dentate gyrus,0.912675066400283,A0A087WSV6
116037,parahippocampal gyrus,CYP46A1,2.7139,1.1221335682783322,3.2139,substantia nigra,0.929648525197439,Q9Y6A2
116285,parahippocampal gyrus,RPRD1B,8.9076,1.2094451409877907,8.243,lateral tuberal nucleus,0.9977967784231364,A0A087WUK3
116749,parahippocampal gyrus,SRY,2.6697,1.138772375283767,3.5717,substantia nigra,0.7925186352299615,Q05066
116909,parahippocampal gyrus,KCNA2,2.328,1.2674031525180915,3.5247,perifornical nucleus,0.8105317845549236,P16389
117189,parahippocampal gyrus,KCNA1,10.3118,1.7380472404681477,8.1642,substantia nigra,0.9675960089166037,Q09470
117644,parahippocampal gyrus,KARS,8.5098,1.0596958779388759,4.5077,substantia nigra,0.4337886827158221,Q15046
117728,parahippocampal gyrus,NUP88,2.5137,1.19749757647942,3.4268,inferior colliculus,0.8480527913403234,Q99567
118016,short insular gyri,EYA1,2.5247,1.1933566969079317,3.6218,substantia nigra,0.7733173845665444,Q99502
118115,parahippocampal gyrus,PDK2,2.5764,1.1738945629219366,3.4833,gigantocellular group,0.8263986863007413,Q15119
118515,parahippocampal gyrus,PDK3,3.0355,1.0010693073519095,3.0455,postcentral gyrus,0.9941892559702821,Q15120
118668,parahippocampal gyrus,RAPGEF2,2.8216,1.0815905928374872,3.2558,planum temporale,0.9135899942034836,Q9Y4G8
118804,parahippocampal gyrus,PLK3,9.0354,1.2575546327365366,8.2427,lateral tuberal nucleus,0.9976818008742532,Q9H4B4
119140,short insular gyri,COG6,8.7724,1.1585499666182244,7.8908,substantia nigra,0.8628131360348028,Q9Y2V7
119212,parahippocampal gyrus,DNTT,2.6473,1.1472047118657072,3.1083,postcentral gyrus,0.9701206224041626,P04053
119500,parahippocampal gyrus,DXO,8.6549,1.1143178439227808,7.982,"inferior frontal gyrus, opercular part",0.8977663108951551,O77932
119808,parahippocampal gyrus,DOCK3,2.8025,1.0887806655479806,3.1747,"inferior frontal gyrus, opercular part",0.9446722582514501,Q8IZD9
119838,parahippocampal gyrus,SVIL,8.9326,1.2188562309229916,7.9677,central glial substance,0.8922857143984112,O95425
119878,parahippocampal gyrus,USP11,8.7318,1.1432663565634584,8.218,lateral tuberal nucleus,0.9882153160162415,P51784
119918,parahippocampal gyrus,SMARCA4,8.7988,1.1684880775897968,7.6178,dentate gyrus,0.7581835665515123,A0A0A0MT49
119998,parahippocampal gyrus,SMARCB1,8.7792,1.161109783080599,8.1682,perifornical nucleus,0.9691290429017073,Q12824
120425,parahippocampal gyrus,EIF4ENIF1,2.7876,1.0943896751493605,3.1718,"inferior frontal gyrus, opercular part",0.9457837078906498,Q9NRA8
120505,parahippocampal gyrus,HEPH,8.9961,1.2427603993584013,8.2143,tuberomammillary nucleus,0.986797259580021,Q9BQS7
120585,parahippocampal gyrus,ELMO1,8.5762,1.084691732806769,8.1332,lateral tuberal nucleus,0.9557149955320546,Q92556
120635,parahippocampal gyrus,HIP1,1.8794,1.4362757503153343,5.214,trochlear nucleus,0.16309320679623143,O00291
120734,parahippocampal gyrus,BLVRB,2.4721,1.213157630131594,3.9307,VIIB,0.6549288350669529,P30043
121273,parahippocampal gyrus,HINT1,2.9451,1.0350998085575955,3.7468,substantia nigra,0.7254100725320707,P49773
121343,parahippocampal gyrus,BMP1,2.3303,1.2665373322440532,3.2928,"lateral group of nuclei, dorsal division",0.8994094298412793,P13497
121443,parahippocampal gyrus,BMI1,1.7572,1.4822771579185956,3.4915,cuneus,0.8232559666312799,P35226
121663,parahippocampal gyrus,HK2,2.4773,1.2112001234250724,3.1458,substantia nigra,0.9557484287938205,P52789
121780,parahippocampal gyrus,DCUN1D4,8.4541,1.0387279695632485,8.2244,temporal pole,0.9906681703924063,Q92564
121870,parahippocampal gyrus,CYLC2,2.594,1.1672691556075552,4.9057,inferior olivary complex,0.2812518011980575,Q14093
121990,parahippocampal gyrus,MAGEA6,9.6036,1.4714498847837802,8.0967,posterior hypothalamic area,0.9417260604179882,P43360
122080,parahippocampal gyrus,MAGEA9,10.3201,1.7411717223266345,8.204,VIIB,0.9828496970683807,A0A075B794
